S3,S2,S1,S0,T1,T0,C1,C0,TMR1,OK1,OK0,F,,SN3,SN2,SN1,SN0
0,0,0,0,X,X,X,X,X,X,X,1,,0,0,0,0
0,0,0,0,X,X,X,X,X,X,X,0,,0,0,0,1
0,0,0,1,X,X,X,X,X,0,0,X,,0,0,1,0
0,0,0,1,X,X,X,X,X,0,1,X,,0,0,0,1
0,0,0,1,X,X,X,X,X,1,0,X,,0,0,0,1
0,0,0,1,X,X,X,X,X,1,1,X,,0,0,0,1
0,0,1,0,0,0,X,X,X,X,X,X,,0,0,1,0
0,0,1,0,0,1,X,X,0,X,X,X,,0,0,1,0
0,0,1,0,1,0,X,X,0,X,X,X,,0,0,1,0
0,0,1,0,1,1,X,X,0,X,X,X,,0,0,1,0
0,0,1,0,0,1,X,X,1,X,X,X,,0,0,1,1
0,0,1,0,1,0,X,X,1,X,X,X,,0,1,0,0
0,0,1,0,1,1,X,X,1,X,X,X,,0,1,0,1
0,0,1,1,0,1,X,X,X,0,0,X,,0,0,1,1
0,0,1,1,0,1,X,X,X,1,0,X,,0,0,1,1
0,0,1,1,0,1,X,X,X,1,1,X,,0,0,1,1
0,0,1,1,1,0,X,X,X,X,X,X,,0,1,0,0
0,0,1,1,0,1,X,X,X,0,1,X,,0,1,1,0
0,0,1,1,0,0,X,X,X,X,X,X,,X,X,X,X
0,0,1,1,1,1,X,X,X,X,X,X,,X,X,X,X
0,1,0,0,1,0,X,X,X,0,0,X,,0,1,0,0
0,1,0,0,1,0,X,X,X,1,0,X,,0,1,0,0
0,1,0,0,1,0,X,X,X,1,1,X,,0,1,0,0
0,1,0,0,1,1,X,X,X,X,X,X,,0,1,0,1
0,1,0,0,1,0,X,X,X,0,1,X,,0,1,1,0
0,1,0,0,0,0,X,X,X,X,X,X,,X,X,X,X
0,1,0,0,0,1,X,X,X,X,X,X,,X,X,X,X
0,1,0,1,1,1,X,X,X,0,0,X,,0,1,0,1
0,1,0,1,1,1,X,X,X,1,0,X,,0,1,0,1
0,1,0,1,1,1,X,X,X,1,1,X,,0,1,0,1
0,1,0,1,0,1,X,X,X,X,X,X,,0,0,1,1
0,1,0,1,1,1,X,X,X,0,1,X,,0,1,1,0
0,1,0,1,0,0,X,X,X,X,X,X,,X,X,X,X
0,1,0,1,1,0,X,X,X,X,X,X,,X,X,X,X
0,1,1,0,X,X,X,X,0,X,X,X,,0,1,1,0
0,1,1,0,X,X,X,X,1,X,X,X,,0,1,1,1
0,1,1,1,X,X,0,0,X,X,X,X,,0,1,1,1
0,1,1,1,X,X,0,1,0,X,X,X,,0,1,1,1
0,1,1,1,X,X,1,0,0,X,X,X,,0,1,1,1
0,1,1,1,X,X,1,1,0,X,X,X,,0,1,1,1
0,1,1,1,X,X,0,1,1,X,X,X,,1,0,0,0
0,1,1,1,X,X,1,0,1,X,X,X,,1,0,0,1
0,1,1,1,X,X,1,1,1,X,X,X,,1,0,1,0
1,0,0,0,X,X,0,1,X,0,0,X,,1,0,0,0
1,0,0,0,X,X,0,1,X,0,1,X,,1,0,0,0
1,0,0,0,X,X,0,1,X,1,1,X,,1,0,0,0
1,0,0,0,X,X,1,0,X,X,X,X,,1,0,0,1
1,0,0,0,X,X,0,1,X,1,0,X,,1,0,1,1
1,0,0,0,X,X,0,0,X,X,X,X,,X,X,X,X
1,0,0,0,X,X,1,1,X,X,X,X,,X,X,X,X
1,0,0,1,X,X,1,0,X,0,0,X,,1,0,0,1
1,0,0,1,X,X,1,0,X,0,1,X,,1,0,0,1
1,0,0,1,X,X,1,0,X,1,1,X,,1,0,0,1
1,0,0,1,X,X,1,1,X,X,X,X,,1,0,1,0
1,0,0,1,X,X,1,0,X,1,0,X,,1,0,1,1
1,0,0,1,X,X,0,0,X,X,X,X,,X,X,X,X
1,0,0,1,X,X,0,1,X,X,X,X,,X,X,X,X
1,0,1,0,X,X,1,1,X,0,0,X,,1,0,1,0
1,0,1,0,X,X,1,1,X,0,1,X,,1,0,1,0
1,0,1,0,X,X,1,1,X,1,1,X,,1,0,1,0
1,0,1,0,X,X,0,1,X,X,X,X,,1,0,0,0
1,0,1,0,X,X,1,1,X,1,0,X,,1,1,0,0
1,0,1,0,X,X,0,0,X,X,X,X,,X,X,X,X
1,0,1,0,X,X,1,0,X,X,X,X,,X,X,X,X
1,0,1,1,X,X,X,X,0,X,X,X,,1,0,1,1
1,0,1,1,X,X,X,X,1,X,X,X,,1,1,0,1
1,1,0,0,X,X,X,X,0,X,X,X,,1,1,0,0
1,1,0,0,X,X,X,X,1,X,X,X,,1,1,1,0
1,1,0,1,X,X,X,X,X,0,0,X,,1,1,0,1
1,1,0,1,X,X,X,X,X,0,1,X,,1,1,0,1
1,1,0,1,X,X,X,X,X,1,0,X,,1,1,0,1
1,1,0,1,X,X,X,X,X,1,1,X,,0,0,0,0
1,1,1,0,X,X,X,X,X,0,0,X,,1,1,1,0
1,1,1,0,X,X,X,X,X,0,1,X,,1,1,1,0
1,1,1,0,X,X,X,X,X,1,0,X,,1,1,1,0
1,1,1,0,X,X,X,X,X,1,1,X,,0,0,0,0
1,1,1,1,X,X,X,X,X,X,X,X,,X,X,X,X
